,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
53045,87527,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53046,87528,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53049,87531,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53052,87534,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53054,87536,40.8143795,-73.9218216,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53056,87538,40.8088178,-73.9274548,BRONX,1730.0,MITCHEL,1.0,10.0,145,4036.0
53058,87540,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53059,87541,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53060,87542,40.8126439,-73.92065,BRONX,992.0,MOTT HAVEN,1.0,8.0,121,2496.0
53063,87545,40.8147569,-73.9220382,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53069,87551,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53070,87552,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53071,87553,40.8088178,-73.9274548,BRONX,1730.0,MITCHEL,1.0,10.0,145,4036.0
53072,87555,40.8143795,-73.9218216,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53073,87557,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53076,87560,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53078,87562,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53079,87563,40.8138179,-73.9230441,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53081,87565,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53085,87574,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53087,87579,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53091,87598,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53092,87599,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53093,87615,40.791676,-73.948003,MANHATTAN,748.0,CLINTON,2.0,6.0,123,1840.0
53096,87631,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53099,87652,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53101,87654,40.794506,-73.9485589,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53103,87657,40.7856659,-73.9469491,MANHATTAN,1511.0,WASHINGTON,1.0,14.0,062,3479.0
53104,87660,40.795504,-73.9471329,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53105,87661,40.7949897,-73.9396056,MANHATTAN,1486.0,JEFFERSON,1.0,18.0,064,3560.0
53106,87662,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53107,87665,40.7965563,-73.9394177,MANHATTAN,1486.0,JEFFERSON,1.0,18.0,064,3560.0
53109,87667,40.795448,-73.9466586,MANHATTAN,616.0,LEHMAN VILLAGE,1.0,4.0,101,1430.0
53112,87693,40.8147569,-73.9220382,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53113,87697,40.8138179,-73.9230441,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53120,87717,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53122,87723,40.8138179,-73.9230441,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53124,87725,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
